id	text	timestamp	location
98	Dwyane Wade says he’s determined to do more than “shut up and dribble” - Dwayne Wade has been visibly active in Flo… https://t.co/1ED5DLuJ7x	2018-03-19 18:15:52	None
99	Dwyane Wade says he's determined to do more than "shut up and dribble" - theGrio https://t.co/2uziF73Rkm	2018-03-19 18:16:02	None
100	Hace 46 años, los @Lakers lograban la victoria más amplia (162-99), hasta entonces, de la historia de la #NBA ante… https://t.co/9q1Cnvdn6J	2018-03-19 18:16:48	None
101	@DwyaneWade Two Chicago southsiders coming to the game tonight how about a pic together? @steve_grabarek	2018-03-19 18:18:06	None
102	Hoje é dia do@papai https://t.co/N6PjFMZ6Xt	2018-03-19 18:18:23	None
103	[NBA] Denver Nuggets at Miami HEAT Game Preview https://t.co/LhRQPyBZ3i #Heat #MiamiHeat	2018-03-19 18:19:18	None
104	Kudos to former Pinecrest resident and Miami Heat legend @DwyaneWade. #MSDStrong #NeverAgain https://t.co/BOevb7JC1L	2018-03-19 18:19:20	None
105	#MiamiHeat RT " Monday mornings in Camp Howard! #HEATCulture https://t.co/sIMsIY7aps "  #Sportsroadhouse https://t.co/tJTmaIWrMZ	2018-03-19 18:19:51	None
106	Lmao https://t.co/ODmXoiYfnl	2018-03-19 18:20:46	None
107	When to the Parkland Artwalk Exhibition @DwyaneWade hosted this weekend and it really reminded me why I’m marching on the Capitol next week	2018-03-19 18:21:18	None
108	@MiamiHEAT Y’all trying to lose to play @Raptors but it will be a big mistake🤔😏	2018-03-19 18:21:37	None
109	MiamiHEAT: Monday mornings in Camp Howard!#HEATCulture https://t.co/oTiAfd58XG	2018-03-19 18:22:08	None
110	Shout out to Erik Spoelstra, who’s been doing it for the last decade with arguably the heaviest burden (filling Pat… https://t.co/Hjwha5sgID	2018-03-19 18:22:15	None
111	@SLAMonline @StephenCurry30 @KembaWalker @carmeloanthony @kevinlove @blakegriffin23 @Al_Horford @KDTrey5… https://t.co/v4og6Gp9rd	2018-03-19 18:23:00	None
112	@SunsSolarPanel what do you guys think of the suns can’t take a big in the draft then trading our next two picks fo… https://t.co/9wwturtQSO	2018-03-19 18:23:08	None
113	Miami Heat continue to be ‘Parkland Strong’ with Rec League basketball visit, donation… https://t.co/o1qtLWpEYf https://t.co/WOCJLeWgnB	2018-03-19 18:23:31	None
114	@FuckBlurrr https://t.co/cTSg1axxcN	2018-03-19 18:24:08	None
115	Get it girls! #heatnation https://t.co/flYkYHmoNk	2018-03-19 18:24:36	None
116	😱🔥 #heat #offwhitexchromehearts #miami https://t.co/UmpAzJUcqr	2018-03-19 18:24:43	None
117	YOU get an empanada &amp; YOU get an empanada! 😋 Stop by 601 during tonight’s @MiamiHEAT game for BOGO empanadas &amp; po… https://t.co/b8u2d1EFaW	2018-03-19 18:24:48	None
118	What #NewYork #Actors Don’t Realize About #LosAngeles by Tyler Johnson and Pascal Payant https://t.co/yzQpTkLid1… https://t.co/E4t0C2tKnG	2018-03-19 18:25:06	None
119	@PBW_Poet 😂😂 then 😡😡This would be on a thursday.......when Miami is 5hrs from me lol. Watch how you love the Fl… https://t.co/JgQnihoeH8	2018-03-19 18:25:35	None
120	Dwyane Wade Breaks Down Why He Continues to Do 'More Than Dribble' https://t.co/bixhWYVTWk	2018-03-19 18:26:48	None
121	Miami Heat https://t.co/T6QcOxrDoS	2018-03-19 18:29:01	None
122	Human Influence on Climate Change Will Fuel More Extreme Heat Waves in Western U.S. by 2020 https://t.co/xpRfCjYooy… https://t.co/jfP4ZoLQwf	2018-03-19 18:30:07	None
123	【定期】NBA大好きです(^O^)／　特にMiami Heatが大好きですが、他にも色んなteamや好きなplayer多数。NBA好きな方ともっと交流出来たら幸いです。宜しくお願いします♪	2018-03-19 18:30:15	None
124	nope https://t.co/gD47GNldrW	2018-03-19 18:30:16	None
125	team with Paul george, John wall, jerry lucas, jerry lucas, and dwyane wade	2018-03-19 18:30:32	None
126	There's some wisdom in here for all of us coaches. I leave it to you to decide. https://t.co/PNDgEDsiUT	2018-03-19 18:30:49	None
127	Erik Spoelstra never took time off for “health issues” 🤷🏾‍♂️ #iJS #TyLueTrynaAbandonShip	2018-03-19 18:31:20	None
128	Security Brief: Britain Accuses Russia of Stockpiling Deadly Nerve Agent - Cmdr. James Brice Johnson and Lt. Caleb… https://t.co/Pq1q8Kk0xj	2018-03-19 18:31:21	None
129	@Brodsky21 @DwyaneWade @MiamiHEAT What a nice guy!	2018-03-19 18:31:47	None
130	Dwyane Wade says he's determined to do more than "shut up and dribble" - theGrio https://t.co/3eRF4X4mQY	2018-03-19 18:31:55	None
131	Found these from 2006 @DwyaneWade @ThisIsUD https://t.co/BnZpFNYmL7	2018-03-19 18:32:41	None
132	@El23DeLosCavs Okaro White hay unos highlights de el en youtube con el heat de miami es un delantero de poder muy r… https://t.co/fJYnI9HVUW	2018-03-19 18:33:00	None
133	Tyler Johnson Was Here by @mrjaycoles comes out tomorrow and you know I’m getting my copy ASAP. https://t.co/YvGGVju3j1	2018-03-19 18:33:06	None
134	@CShurg23 @DwyaneWade @MiamiHEAT  https://t.co/S9neHaFdwu	2018-03-19 18:33:12	None
135	#NBA Finals Tickets: TBD at Miami Heat (Home Game 1, If Necessary) Tic... - Miami  $2,161.30 -… https://t.co/SUsxbKouu9	2018-03-19 18:33:28	None
136	The HEAT have a great organization and Erik came in the hard way - so its a lifestyle you have to learn to manage a… https://t.co/xtQoLWedGd	2018-03-19 18:33:37	None
137	NEW: Dwyane Wade Out on Monday https://t.co/R8o6G0ZPvx #FantasyBasketball	2018-03-19 18:34:38	None
138	NEW:  Dwyane Wade Out on Monday https://t.co/u2odyTly1V	2018-03-19 18:34:39	None
139	@realKellvis @CNN @DwyaneWade What he said. Don't be a dick	2018-03-19 18:35:05	None
140	Dwyane Wade on his activism: "I do more than dribble. For me, it's bigger than basketball." https://t.co/vXXSZ9FZRc https://t.co/CY1Y4av7dV	2018-03-19 18:35:08	None
141	@LiveNationFL @JAY_Z_Daily @S_C_ Danza - Danza - Dolphin Danza - Versace Vida - Miami Heat - Houston Honey - Flawle… https://t.co/x5oYaFdxPt	2018-03-19 18:35:22	None
142	Complex: Dwyane Wade on his activism: "I do more than dribble. For me, it's bigger than basketball."… https://t.co/yQjqPihWtW	2018-03-19 18:35:35	None
143	I'm good going back to go through Zona and Virginia if we can also go back to play any team but the one that had a… https://t.co/4z6d5kdTki	2018-03-19 18:36:14	None
144	NBA star .@DwyaneWade defends activism: 'I do more than dribble' @CNN https://t.co/NhjMsZObJt	2018-03-19 18:36:26	None
145	Your favorite player couldn’t guard him.  🤷🏾‍♂️ https://t.co/Z3xdNWF9Ce	2018-03-19 18:36:49	None
146	@MiamiHEAT Bruh..... Miami is in a playoff push and whiteside is out cause of a sore hip? I can understand wade, but whiteside?	2018-03-19 18:37:06	None
147	@CNN @DwyaneWade Thank you for not just dribbling, but CARING for other. You are a true HERO Mr. Wade. This video f… https://t.co/RpN0Q63Xnv	2018-03-19 18:37:37	None
148	Goat https://t.co/v2wG6inbB2	2018-03-19 18:38:30	None
149	@rhonda_harbison @Nancjj65 @CNN @DwyaneWade Thank you for trying @rhondaharbisonn	2018-03-19 18:38:50	None
150	#legend #marchforourlives https://t.co/smfL2Eu80Z	2018-03-19 18:39:03	None
151	Danza - Danza - Dolphin Danza - Versace Vida - Miami Heat - Houston Honey - Flawless Vine - Mix'n Mars - Venus Fire… https://t.co/elCyVMGLfo	2018-03-19 18:39:05	None
152	@LiveNationFL @JAY_Z_Daily @S_C_ Danza - Danza - Dolphin Danza - Versace Vida - Miami Heat - Houston Honey - Flawle… https://t.co/Zl4veYnkk6	2018-03-19 18:39:12	None
153	Miami Heat star @DwyaneWade on his efforts to support Florida school shooting victims and survivors: “I do more tha… https://t.co/WwH4iyXH7L	2018-03-19 18:40:04	None
154	If @DwyaneWade do a Q &amp; A like @isaiahthomas  im asking a 60min documentary’s worth 😂😂 #realfan	2018-03-19 18:40:23	None
155	Llega un punto que te pones a pensar si Lebron James es un ente negativo en el contexto de dirigentesMike Brown,… https://t.co/jVp1KBTKjX	2018-03-19 18:40:28	None
156	Dwyane Wade on efforts to support Florida shooting victims, survivors: 'I do more than dribble' https://t.co/GcZqyuuGMX	2018-03-19 18:40:35	None
157	@CNN @DwyaneWade I love you Dwyane!!	2018-03-19 18:40:49	None
158	@CNN @DwyaneWade Putin is the most influential leader nowadays even though I hate that dictator.	2018-03-19 18:40:57	None
159	Felt like a @MiamiHEAT game in Parkland yesterday w/Coach Spoelstra, Hassan Whiteside, Josh Richardson, Rodney McGr… https://t.co/T5CtoYFmnh	2018-03-19 18:41:05	None
160	@CNN @DwyaneWade Trump is a joke as a leader compared to Putin. Putin is much smarter than Trump honestly.	2018-03-19 18:41:22	None
161	@TonyHEATWC3x @MiamiHEAT Thanks for keeping us up to speed, Coach.. Welcome home to you and @EReidMiamiHeat . Go HEAT!	2018-03-19 18:41:41	None
162	NEW: Hassan Whiteside Ruled Out Against Denver https://t.co/t0dp6iDCjw #FantasyBasketball	2018-03-19 18:41:42	None
163	NEW:  Hassan Whiteside Ruled Out Against Denver https://t.co/tra4I2FUzR	2018-03-19 18:41:45	None
164	@nicktitanmill @CNN @DwyaneWade Soooo only Muslims commit acts of terror???	2018-03-19 18:41:50	None
165	@17roseV @Charliblac @lisjoseph @MistaDubb @DwyaneWade @BStyleINC I am sorry	2018-03-19 18:42:04	None
166	Dwyane Wade Breaks Down Why He Continues to Do 'More Than Dribble' https://t.co/bixhWYVTWk https://t.co/3UdN4X6SUM	2018-03-19 18:42:07	None
167	nugget kızartma yalan oldu aq https://t.co/krSOXK86rG	2018-03-19 18:42:11	None
168	❤️❤️❤️ https://t.co/k8GTbP3Q6C	2018-03-19 18:42:29	None
169	@CNN @DwyaneWade  https://t.co/xgSoNrDYQi	2018-03-19 18:42:41	None
170	I did the social media for @DwyaneWade's @WayofWade shoe launch during the Toronto NBA All Star weekend and he was… https://t.co/IuGx0vSPQy	2018-03-19 18:43:33	None
171	New study with @NOAA_AOML in @NatureClimate - More #heatwaves due to #climatechange are in store for #west &amp;… https://t.co/J2IbUkboXe	2018-03-19 18:43:45	None
172	@CNN @DwyaneWade BRONCHITIS - CAUSES , TREATMENT , PRECAUTIONS and much more about bronchitis CHECK OUT FAST 👇👇👇https://t.co/cdBTITh03w	2018-03-19 18:44:00	None
173	@CNN @DwyaneWade MSD Strong !!!!!!!!!	2018-03-19 18:44:15	None
174	Hassan Whiteside Ruled Out Against DenverMore: https://t.co/pqHRNG9MJn#DFS #NBA #News #MIA	2018-03-19 18:44:27	None
175	Dwyane Wade Out on MondayMore: https://t.co/AWDk89hGcE#DFS #NBA #News #MIA	2018-03-19 18:44:28	None
176	The @MiamiHEAT exhibited everything that community means yesterday.Outside the #Parkland basketball game - Heat p… https://t.co/M2g1LXAEVT	2018-03-19 18:44:42	None
177	@DwyaneWade Thank you!	2018-03-19 18:45:10	None
178	@CNN @DwyaneWade You’ve been given an opportunity to use your voice but don’t use it to make liberals more ignorant than they already are.	2018-03-19 18:45:10	None
179	@CNN @DwyaneWade Nah, you just dribble. Either with your hands or your mouth. Both are old and worn out	2018-03-19 18:45:21	None
180	@drewblayman @rtruth901 @Evan_G_P @MichaelRapaport @iamrapaport @NBA @GeraldMoody1560 @MiamiHEAT @DwyaneWade… https://t.co/PSHzgKXnD7	2018-03-19 18:45:42	None
181	@CNN @DwyaneWade @IngrahamAngle are you gonna run your mouth again about basketball players or did you get smacked… https://t.co/bSG2Cu0fpH	2018-03-19 18:46:10	None
182	James Johnson checks back in to the game. https://t.co/G3u5R0e2vv	2018-03-19 18:46:24	None
183	@KrispyFlakes2k Do a trade everyone, but with the Miami Heat 12-13 or whatever year that LeBron was on the team	2018-03-19 18:46:38	None
184	Coming back to Miami like im @DwyaneWade https://t.co/ibaBbqmJof	2018-03-19 18:46:58	None
185	@drewblayman @rtruth901 @Evan_G_P @MichaelRapaport @iamrapaport @NBA @GeraldMoody1560 @MiamiHEAT @DwyaneWade… https://t.co/S53GQA1K4Y	2018-03-19 18:47:26	None
186	@CNN @DwyaneWade Dumb n numb liberals--- https://t.co/JfvAwsIrMQ	2018-03-19 18:47:29	None
187	Hace 46 años, los @Lakers lograban la victoria más amplia (162-99), hasta entonces, de la historia de la #NBA ante… https://t.co/xyldp5b59m	2018-03-19 18:47:36	None
188	🔎 Deuxième pronostique pour cette nuit 🔍Dans le match Miami Heat - Denver Nuggets en NBA  🇺🇸 🏀 : - Goran Dragic… https://t.co/5PJnlySPKa	2018-03-19 18:47:37	None
189	@CNN @DwyaneWade Great, we all need to hear what a basketball player, at the end of his career think people should… https://t.co/23fiZHnsFL	2018-03-19 18:47:50	None
190	@drewblayman @rtruth901 @Evan_G_P @MichaelRapaport @iamrapaport @NBA @GeraldMoody1560 @MiamiHEAT @DwyaneWade… https://t.co/Ye4DVUmFX2	2018-03-19 18:49:28	None
191	@CNN @DwyaneWade Great, another moron who knows nothing about history. Hey Dwayne since 1900 governments have murde… https://t.co/VtSVuyBa4k	2018-03-19 18:49:33	None
192	@CNN @DwyaneWade Dwayne and Parkland -- I love you, Dwayne Wade! You are wonderful and make me very proud!	2018-03-19 18:49:48	None
193	Bravo James...alongside my Expert hero Prof Michael Dougan (Please interview him!!) You are in the running for my M… https://t.co/OMKmIbxFsg	2018-03-19 18:49:59	None
194	@CNN @DwyaneWade Just don't take a knee brotha. 🤔	2018-03-19 18:50:22	None
195	Hey @NBA why aren’t more players as badass as @DwyaneWade ? https://t.co/O1xRWVwrDj	2018-03-19 18:50:31	None
196	Wait, Dwyane Wade is back in Miami? I could have sworn he was still playing in Chicago	2018-03-19 18:50:32	None
197	@CNN @DwyaneWade Great! He can do more than dribble!	2018-03-19 18:51:06	None
198	@CNN @DwyaneWade If Eastwood can speak to an empty chair, Heston can hold NRA rallies in cities following mass shoo… https://t.co/In2PeX6foX	2018-03-19 18:51:30	None
199	@CNN @DwyaneWade Pro #GunControl or pro #2A, whatever, maybe @DwyaneWade should just keep focus on ball and career.… https://t.co/dMzFRgm3RS	2018-03-19 18:52:47	None
200	@MiamiHEAT @BDA_Sports @Goran_Dragic @BrickellCityCtr Are looking for a web developer to design an AWESOME responsi… https://t.co/qx9mUOi04Z	2018-03-19 18:53:50	None
